Year,Region,Commodity,Data Item,Value
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","68,400"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",43.8
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",91.2
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","39,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","45,900"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",179
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",98.4
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","87,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","28,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",34.5
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",78.9
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","16,500"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","27,700"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",185
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",81.6
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","65,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","203,400"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $","21,895,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",91
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",87.5
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","250,100"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","8,500"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",47.2
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",77.4
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","17,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CUCUMBERS,"CUCUMBERS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","9,300"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CUCUMBERS,"CUCUMBERS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",20.7
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CUCUMBERS,"CUCUMBERS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",69.7
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),CUCUMBERS,"CUCUMBERS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","10,500"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","3,100"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",59.6
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",80.8
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","3,000"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","7,100"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",40.6
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",78.6
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","7,500"
